doc_id,n_parrafos,topic_dominante,topic_dominante_share,outlier_share
E090_WIHL_2023,263,300,0.1255,0.3308
E090_WIHL_2024,316,300,0.1266,0.3766
E091_P911_2022,410,27,0.6707,0.1293
E091_P911_2023,75,27,0.8,0.1333
E091_P911_2024,1169,27,0.5945,0.1788
E092_EVK_2022,280,3,0.0393,0.4464
E092_EVK_2023,284,3,0.0493,0.4507
E092_EVK_2024,472,4,0.0508,0.4958
E093_BNR_2022,325,115,0.04,0.5046
E093_BNR_2023,343,115,0.0379,0.5481
E093_BNR_2024,439,116,0.0296,0.492
E094_OR_2022,579,113,0.1831,0.4007
E094_OR_2023,494,113,0.1802,0.4028
E094_OR_2024,727,113,0.1554,0.4127
E095_UBSG_2022,90,37,0.1,0.4556
E095_UBSG_2023,296,233,0.1351,0.5034
E095_UBSG_2024,290,233,0.1517,0.5414
E096_NEM_2023,41,17,0.0732,0.3415
E096_NEM_2024,319,260,0.4013,0.3041
E097_UMG_2022,401,47,0.2743,0.3192
E097_UMG_2023,1074,47,0.419,0.2458
E097_UMG_2024,311,47,0.2508,0.3408
E098_MICP_2022,908,99,0.1344,0.4031
E098_MICP_2023,1215,99,0.1202,0.3704
E098_MICP_2024,961,146,0.1124,0.2945
E099_PIRC_2022,157,1,0.1783,0.3439
E099_PIRC_2023,338,127,0.2456,0.2574
E099_PIRC_2024,605,127,0.2975,0.3041
E100_FERR_2022,256,305,0.1523,0.332
E100_FERR_2023,176,44,0.0852,0.4205
E100_FERR_2024,456,305,0.0789,0.4364
E101_RENA_2022,220,168,0.0909,0.4
E101_RENA_2023,632,168,0.1218,0.4272
E101_RENA_2024,855,168,0.1357,0.3637
E102_ABN_2022,340,0,0.1735,0.4735
E102_ABN_2023,87,399,0.0805,0.5057
E102_ABN_2024,1038,399,0.0588,0.4788
E103_KBC_2022,5,128,0.4,0.2
E103_KBC_2023,5,128,0.4,0.2
E103_KBC_2024,673,35,0.0728,0.5022
E104_INGA_2022,267,195,0.0449,0.4457
E104_INGA_2023,106,53,0.0755,0.6887
E104_INGA_2024,509,35,0.1002,0.4754
E105_UC_2022,50,524,0.18,0.44
E105_UC_2023,41,30,0.1463,0.439
E105_UC_2024,591,524,0.0728,0.4636
E106_SAN_2022,3598,1,0.097,0.458
E106_SAN_2023,3640,1,0.0909,0.4665
E106_SAN_2024,527,117,0.0778,0.4307
E107_VK_2022,470,3,0.0638,0.3468
E107_VK_2023,561,3,0.0677,0.3761
E107_VK_2024,133,477,0.0451,0.5489
E108_MT_2022,309,165,0.2945,0.3689
E108_MT_2023,292,165,0.2911,0.3356
E108_MT_2024,123,165,0.3171,0.3902
E109_SOLB_2022,394,537,0.0508,0.4137
E109_SOLB_2023,639,43,0.0485,0.4554
E109_SOLB_2024,801,43,0.0387,0.4569
E110_AKZA_2022,252,2,0.0437,0.4603
E110_AKZA_2023,324,2,0.0494,0.4506
E110_AKZA_2024,512,13,0.0527,0.3867
E111_BAS_2022,193,9,0.0466,0.4974
E111_BAS_2023,227,3,0.1057,0.5242
E111_BAS_2024,1080,491,0.0389,0.4917
E112_HEI_2022,152,153,0.1118,0.3684
