ticker_yf,error,nombre_largo,pais_yf,sector_yf,industria_yf,market_cap,PE_ratio,ROA,ROE,deuda_equity,deuda_total,ingresos,ebitda,margen_beneficio,moneda,ESG_score,ESG_env,ESG_soc,ESG_gov,ESG_percentil,ESG_categoria,controversias,id_empresa,nombre,ticker_wiki,pais,sector_icb,supersector,sede
BATS.L,,British American Tobacco p.l.c.,United Kingdom,Consumer Defensive,Tobacco,105422282752.0,13.968481,0.053439997,0.15824,72.842,35070001152.0,25610000384.0,11758000128.0,0.30316,GBp,,,,,,,,E050,British American Tobacco,BATS,United Kingdom,"Food, Beverage and Tobacco","Food, Beverage and Tobacco",London
SWMA.ST,,,,,,,,,,,,,,,,,,,,,,,E051,Swedish Match,SWMA,Sweden,"Food, Beverage and Tobacco","Food, Beverage and Tobacco",Stockholm
UTG.L,,Unite Group PLC,United Kingdom,Real Estate,REIT - Diversified,2600820224.0,24.849998,0.02138,0.020450002,28.106,1330499968.0,386900000.0,222800000.0,0.25226,GBp,,,,,,,,E052,Unite Group,UTG,United Kingdom,Real Estate,Real Estate,London
SGRO.L,,SEGRO Plc,United Kingdom,Real Estate,REIT - Industrial,9666715648.0,17.429268,0.01745,0.04531,42.174,5176000000.0,726000000.0,516000000.0,0.75895,GBp,,,,,,,,E053,Segro,SGRO,United Kingdom,Real Estate,Real Estate,London
REP.MC,,"Repsol, S.A.",Spain,Energy,Oil & Gas Integrated,24434708480.0,10.401869,0.03652,0.09488,49.173,14120999936.0,49558999040.0,5152999936.0,0.04968,EUR,,,,,,,,E054,Repsol,REP,Spain,Energy,Energy,Madrid
AKERBP.OL,,,,,,,,,,,,,,,,,,,,,,,E055,Aker BP,AKERBP,Norway,Energy,Energy,Lysaker
CPG.L,,Compass Group PLC,United Kingdom,Consumer Cyclical,Restaurants,52930740224.0,26.159662,0.07289,0.26883,113.105,9130999808.0,48484999168.0,3809999872.0,0.04162,USD,,,,,,,,E056,Compass Group,CPG,United Kingdom,Travel and Leisure,Travel and Leisure,Chertsey
FLTR.IR,,,,,,,,,,,,,,,,,,,,,,,E057,Flutter Entertainment,FLTR,Ireland,Travel and Leisure,Travel and Leisure,Dublin
STLAM.AS,,,,,,,,,,,,,,,,,,,,,,,E058,Stellantis,STLAM,Netherlands,Automobiles and Parts,Automobiles and Parts,Hoofddorp
MBG.DE,,Mercedes-Benz Group AG,Germany,Consumer Cyclical,Auto Manufacturers,47981387776.0,9.385767,0.01666,0.05282,104.519,99530997760.0,130591997952.0,11079000064.0,0.03738,EUR,,,,,,,,E059,Mercedes-Benz Group,MBG,Germany,Automobiles and Parts,Automobiles and Parts,Stuttgart
RKT.L,,Reckitt Benckiser Group plc,United Kingdom,Consumer Defensive,Household & Personal Products,29817640960.0,9.556237,0.085,0.44175997,109.562,8525000192.0,14204999680.0,3766000128.0,0.22400999,GBp,,,,,,,,E060,Reckitt,RKT,United Kingdom,"Personal Care, Drug and Grocery Stores","Personal Care, Drug and Grocery Stores",Slough
