id_empresa,nombre,ticker,ticker_yf,ISIN,pais,sector_ICB,supersector,año,capitalización,moneda,ingresos,ebitda,net_income,total_assets,equity,deuda,ROA,ROE,margen_beneficio,deuda_equity,sector_yf,industria_yf,pais_yf,nota,error_yf,fuente_ebitda
E009,UPM-Kymmene,UPM,UPM.HE,FI0009005987,Finland,Basic Resources,Basic Materials,2023,13230560256.0,EUR,10460000000.0,1211000000.0,388000000.0,18473000000.0,11161000000.0,3256000000.0,0.0210036269149569,0.0347639100439028,0.0370936902485659,0.2917301317086282,Basic Materials,Paper & Paper Products,Finland,,,direct
E009,UPM-Kymmene,UPM,UPM.HE,FI0009005987,Finland,Basic Resources,Basic Materials,2024,13230560256.0,EUR,10339000000.0,1750000000.0,436000000.0,19096000000.0,11139000000.0,3814000000.0,0.0228320067029744,0.0391417541969656,0.0421704226714382,0.3424005745578597,Basic Materials,Paper & Paper Products,Finland,,,direct
E010,Boliden AB,BOL,BOL.ST,SE0000869646,Sweden,Basic Resources,Basic Materials,2022,159526174720.0,SEK,86437000000.0,21748000000.0,12410000000.0,96376000000.0,58311000000.0,11192000000.0,0.1287664978832904,0.2128243384610108,0.1435727755475085,0.1919363413421138,Basic Materials,Other Industrial Metals & Mining,Sweden,,,direct
E010,Boliden AB,BOL,BOL.ST,SE0000869646,Sweden,Basic Resources,Basic Materials,2023,159526174720.0,SEK,78554000000.0,14680000000.0,6073000000.0,101957000000.0,56404000000.0,14582000000.0,0.0595643261374893,0.1076696688178143,0.0773098760088601,0.2585277639883696,Basic Materials,Other Industrial Metals & Mining,Sweden,,,direct
E010,Boliden AB,BOL,BOL.ST,SE0000869646,Sweden,Basic Resources,Basic Materials,2024,159526174720.0,SEK,89207000000.0,20581000000.0,10022000000.0,116192000000.0,64992000000.0,16507000000.0,0.0862537868355824,0.1542035942885278,0.112345443743204,0.2539851058591826,Basic Materials,Other Industrial Metals & Mining,Sweden,,,direct
E011,Acerinox,ACX,ACX.MC,ES0132105018,Spain,Basic Resources,Basic Materials,2022,3976787456.0,EUR,8688494000.0,1087009000.0,556054000.0,6318147000.0,2474097000.0,1988524000.0,0.0880090317620023,0.224750282628369,0.0639988932489335,0.8037372827338621,Basic Materials,Steel,Spain,,,direct
E011,Acerinox,ACX,ACX.MC,ES0132105018,Spain,Basic Resources,Basic Materials,2023,3976787456.0,EUR,6607978000.0,627519000.0,228128000.0,6098769000.0,2408430000.0,2134887000.0,0.0374055813558441,0.0947206271305373,0.0345231173590468,0.8864226903003202,Basic Materials,Steel,Spain,,,direct
E011,Acerinox,ACX,ACX.MC,ES0132105018,Spain,Basic Resources,Basic Materials,2024,3976787456.0,EUR,5413128000.0,609626000.0,224946000.0,6467183000.0,2527317000.0,2383051000.0,0.0347826866813572,0.0890058508687275,0.0415556402878335,0.9429173309086276,Basic Materials,Steel,Spain,,,direct
E012,Voestalpine,VOE,VOE.VI,AT0000937503,Austria,Basic Resources,Basic Materials,2022,8123330560.0,EUR,14923200000.0,2088000000.0,1299600000.0,16949700000.0,6833100000.0,3187100000.0,0.0766739234322731,0.1901918602098608,0.0870858797040849,0.4664208046128404,Basic Materials,Steel,Austria,,,direct
E012,Voestalpine,VOE,VOE.VI,AT0000937503,Austria,Basic Resources,Basic Materials,2023,8123330560.0,EUR,18225100000.0,2609200000.0,1064600000.0,17021700000.0,7445900000.0,2993300000.0,0.0625436942256061,0.1429780147463704,0.0584139456024932,0.4020064733611786,Basic Materials,Steel,Austria,,,direct
E012,Voestalpine,VOE,VOE.VI,AT0000937503,Austria,Basic Resources,Basic Materials,2024,8123330560.0,EUR,16684300000.0,1736900000.0,100800000.0,16557400000.0,7188400000.0,3060600000.0,0.0060879123533888,0.0140225919537031,0.0060416079787584,0.4257692949752379,Basic Materials,Steel,Austria,,,direct
E013,Covestro,1COV,1COV.DE,DE0006062144,Germany,Chemicals,Basic Materials,2022,11320645632.0,EUR,17968000000.0,1646000000.0,-272000000.0,14585000000.0,7086000000.0,3656000000.0,-0.0186492972231744,-0.0383855489697996,-0.0151380231522707,0.5159469376234829,,,Germany,,,direct
E013,Covestro,1COV,1COV.DE,DE0006062144,Germany,Chemicals,Basic Materials,2023,11320645632.0,EUR,14377000000.0,1136000000.0,-198000000.0,13637000000.0,6590000000.0,3390000000.0,-0.0145193224316198,-0.0300455235204855,-0.0137719969395562,0.5144157814871017,,,Germany,,,direct
E013,Covestro,1COV,1COV.DE,DE0006062144,Germany,Chemicals,Basic Materials,2024,11320645632.0,EUR,14179000000.0,1116000000.0,-266000000.0,13631000000.0,6658000000.0,3098000000.0,-0.0195143423079744,-0.0399519375187744,-0.0187601382325975,0.4653048963652748,,,Germany,,,direct
E014,Symrise,SY1,SY1.DE,DE000SYM9999,Germany,Chemicals,Basic Materials,2022,11095104512.0,EUR,4618476000.0,780495000.0,280007000.0,7782963000.0,3551372000.0,2547415000.0,0.0359769152185356,0.0788447394415454,0.0606275749836093,0.7173044671186235,Basic Materials,Specialty Chemicals,Germany,,,direct
E014,Symrise,SY1,SY1.DE,DE000SYM9999,Germany,Chemicals,Basic Materials,2023,11095104512.0,EUR,4730187000.0,851959000.0,340473000.0,7845613000.0,3631272000.0,2558672000.0,0.0433966090348835,0.09376135965579,0.0719787610933774,0.7046214108995416,Basic Materials,Specialty Chemicals,Germany,,,direct
E014,Symrise,SY1,SY1.DE,DE000SYM9999,Germany,Chemicals,Basic Materials,2024,11095104512.0,EUR,4998513000.0,1040169000.0,478224000.0,8324708000.0,3981180000.0,2545784000.0,0.0574463392589866,0.1201211701053456,0.0956732532255092,0.6394546340532204,Basic Materials,Specialty Chemicals,Germany,,,direct
E015,Yara International,YAR,YAR.OL,JP3939600007,Norway,Chemicals,Basic Materials,2022,132253548544.0,NOK,23902000000.0,4834000000.0,2777000000.0,17982000000.0,8587000000.0,4218000000.0,0.1544322099877655,0.3233958309071852,0.1161827462137059,0.4912076394549901,Basic Materials,Agricultural Inputs,Norway,,,direct
E015,Yara International,YAR,YAR.OL,JP3939600007,Norway,Chemicals,Basic Materials,2023,132253548544.0,NOK,15511000000.0,1531000000.0,48000000.0,16027000000.0,7552000000.0,4230000000.0,0.0029949460285767,0.0063559322033898,0.0030945780413899,0.5601165254237288,Basic Materials,Agricultural Inputs,Norway,,,direct
E015,Yara International,YAR,YAR.OL,JP3939600007,Norway,Chemicals,Basic Materials,2024,132253548544.0,NOK,13868000000.0,1465000000.0,14000000.0,14994000000.0,6988000000.0,4048000000.0,0.0009337068160597,0.0020034344590726,0.0010095183155465,0.5792787635947338,Basic Materials,Agricultural Inputs,Norway,,,direct
E016,Balfour Beatty,BBY,BBY.L,GB0000961622,United Kingdom,Construction and Materials,Industrials,2022,3859951104.0,GBp,7629000000.0,430000000.0,288000000.0,5123000000.0,1378000000.0,738000000.0,0.0562170603162209,0.2089985486211901,0.0377506881635863,0.5355587808417998,Industrials,Engineering & Construction,United Kingdom,,,direct
E016,Balfour Beatty,BBY,BBY.L,GB0000961622,United Kingdom,Construction and Materials,Industrials,2023,3859951104.0,GBp,7993000000.0,390000000.0,197000000.0,5265000000.0,1198000000.0,979000000.0,0.0374169040835707,0.164440734557596,0.0246465657450269,0.8171953255425709,Industrials,Engineering & Construction,United Kingdom,,,direct
E016,Balfour Beatty,BBY,BBY.L,GB0000961622,United Kingdom,Construction and Materials,Industrials,2024,3859951104.0,GBp,8234000000.0,374000000.0,178000000.0,5632000000.0,1121000000.0,1112000000.0,0.0316051136363636,0.1587867975022301,0.0216176827787223,0.991971454058876,Industrials,Engineering & Construction,United Kingdom,,,direct
E017,Skanska,SKA B,SKA-B.ST,SE0000113250,Sweden,Construction and Materials,Industrials,2022,103892770816.0,SEK,163174000000.0,13149000000.0,8256000000.0,151593000000.0,55111000000.0,14567000000.0,0.0544616176208664,0.1498067536426484,0.0505962959785259,0.2643210974215674,Industrials,Engineering & Construction,Sweden,,,direct
E017,Skanska,SKA B,SKA-B.ST,SE0000113250,Sweden,Construction and Materials,Industrials,2023,103892770816.0,SEK,167168000000.0,11496000000.0,4998000000.0,155189000000.0,56202000000.0,17766000000.0,0.0322058908814413,0.0889292196007259,0.0298980666156202,0.3161097469840931,Industrials,Engineering & Construction,Sweden,,,direct
E017,Skanska,SKA B,SKA-B.ST,SE0000113250,Sweden,Construction and Materials,Industrials,2024,103892770816.0,SEK,176481000000.0,11075000000.0,5552000000.0,171207000000.0,62466000000.0,19106000000.0,0.0324285806071013,0.0888803509108955,0.0314594772241771,0.305862389139692,Industrials,Engineering & Construction,Sweden,,,direct
E018,Vinci,DG,DG.PA,FR0000125486,France,Construction and Materials,Industrials,2022,68313341952.0,EUR,62514000000.0,10578000000.0,4259000000.0,111991000000.0,25939000000.0,31023000000.0,0.0380298416837067,0.1641929141447241,0.0681287391624276,1.1959983037125563,Industrials,Engineering & Construction,France,,,direct
E018,Vinci,DG,DG.PA,FR0000125486,France,Construction and Materials,Industrials,2023,68313341952.0,EUR,69885000000.0,11994000000.0,4702000000.0,118558000000.0,28113000000.0,31423000000.0,0.0396599132913848,0.1672535837512894,0.0672819632252987,1.1177391242485684,Industrials,Engineering & Construction,France,,,direct
E018,Vinci,DG,DG.PA,FR0000125486,France,Construction and Materials,Industrials,2024,68313341952.0,EUR,72768000000.0,12785000000.0,4863000000.0,129491000000.0,29947000000.0,36261000000.0,0.0375547335336046,0.162386883494173,0.0668288258575197,1.2108391491635222,Industrials,Engineering & Construction,France,,,direct
