id_empresa,empresa,ticker,pais,año,tipo_informe,url_fuente,fecha_descarga,n_paginas,idioma,estado,notas
E026,Repsol,REP,Spain,2022,integrated,https://www.repsol.com/content/dam/repsol-corporate/es/accionistas-e-inversores/informes-anuales/2022/informe-financiero-anual-consolidado-2022.pdf,2026-05-26,325.0,,descargado,descarga directa bloqueada — descargar manualmente
E026,Repsol,REP,Spain,2023,integrated,https://www.repsol.com/content/dam/repsol-corporate/es/accionistas-e-inversores/informes-anuales/2023/informe-financiero-anual-consolidado.pdf,2026-05-26,288.0,,descargado,descarga directa bloqueada — descargar manualmente
E026,Repsol,REP,Spain,2024,integrated,https://www.repsol.com/content/dam/repsol-corporate/en_gb/accionistas-e-inversores/informes-anuales/2024/consolidated-annual-financial-report-2024.pdf,2026-05-26,172.0,,descargado,no encontrado automáticamente
E027,Aker BP,AKERBP,Norway,2022,integrated,https://akerbp.com/wp-content/uploads/2023/03/aker-bp-annual-report-2022.pdf,2026-05-26,74.0,,descargado,no encontrado automáticamente
E027,Aker BP,AKERBP,Norway,2023,integrated,https://akerbp.com/wp-content/uploads/2024/03/aker-bp-annual-report-2023.pdf,2026-05-26,150.0,,descargado,no encontrado automáticamente
E027,Aker BP,AKERBP,Norway,2024,integrated,https://akerbp.com/wp-content/uploads/2025/04/annual-report-2024.pdf,2026-05-26,170.0,,descargado,no encontrado automáticamente
E028,Neste,NSN,Finland,2022,integrated,https://www.neste.com/files/pdf/7eb862934530a889c296d0317593e68b-Neste_Annual_Report_2022.pdf,2026-05-26,224.0,,descargado,no encontrado automáticamente
E028,Neste,NSN,Finland,2023,integrated,https://www.neste.com/files/pdf/5pSrq2XvklFNL6GU1cPFNY-Neste_Annual_Report_2023.pdf,2026-05-26,252.0,,descargado,no encontrado automáticamente
E028,Neste,NSN,Finland,2024,integrated,https://www.neste.com/files/pdf/3kFaGuHcQk8hRDLS6tlvqF-Neste_Annual_Report_2024.pdf,2026-05-26,231.0,,descargado,no encontrado automáticamente
E029,TGS,TGS,Norway,2022,integrated,https://www.tgs.com/hubfs/2022_TGS_Annual%20Report.pdf,2026-05-27,358.0,,descargado,no encontrado automáticamente
E029,TGS,TGS,Norway,2023,integrated,https://www.tgs.com/hubfs/Financial%20Reports/Annual%20Reports/2023%20Annual%20Report/2023%20TGS%20Annual%20Report%20and%20Sustainability%20Report_final.pdf,2026-05-27,147.0,,descargado,no encontrado automáticamente
E029,TGS,TGS,Norway,2024,integrated,https://www.tgs.com/hubfs/Financial%20Reports/Annual%20Reports/2024%20Annual%20Report/TGS%202024%20Annual%20Report.pdf,2026-05-27,267.0,,descargado,no encontrado automáticamente
E030,Vestas,VESTAS,Denmark,2022,integrated,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2022/Vestas%20Annual%20Report%202022.pdf.coredownload.inline.pdf,2026-05-28,993.0,,descargado,descarga directa bloqueada — descargar manualmente
E030,Vestas,VESTAS,Denmark,2023,integrated,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2023/2023-annual-report/Annual%20Report%202023.pdf.coredownload.inline.pdf,2026-05-26,115.0,,descargado,descarga directa bloqueada — descargar manualmente
E030,Vestas,VESTAS,Denmark,2024,integrated,https://www.vestas.com/content/dam/vestas-com/global/en/investor/reports-and-presentations/financial/2024/fy-2024/Vestas%20Annual%20Report%202024.pdf.coredownload.inline.pdf,2026-05-26,181.0,,descargado,descarga directa bloqueada — descargar manualmente
E031,London Stock Exchange Group,LSEG,United Kingdom,2022,integrated,https://www.lseg.com/content/dam/lseg/en_us/documents/investor-relations/annual-reports/lseg-annual-report-2022.pdf,2026-05-26,79.0,,descargado,URL incorrecta (subsidiaria financiera) — buscar LSEG Group plc annual report
E031,London Stock Exchange Group,LSEG,United Kingdom,2023,integrated,https://www.lseg.com/content/dam/lseg/en_us/documents/investor-relations/annual-reports/lseg-annual-report-2023.pdf,2026-05-26,59.0,,descargado,URL incorrecta (subsidiaria financiera) — buscar LSEG Group plc annual report
