ticker_wiki,nombre,sector_icb,pais,sede
AFX,Carl Zeiss Meditec,Health Care,Germany,Jena
CAPP,Capgemini,Technology,France,Paris
CARR,Carrefour,Retail,France,Massy
CAST,Castellum,Real Estate,Sweden,Gothenburg
CNA,Centrica,Utilities,United Kingdom,Windsor
CLN,Clariant,Chemicals,Switzerland,Muttenz
CCH,Coca-Cola HBC,"Food, Beverage and Tobacco",Switzerland,Steinhausen
COLR,Colruyt,"Personal Care, Drug and Grocery Stores",Belgium,Halle
CBK,Commerzbank,Banks,Germany,Frankfurt
CON,Continental,Automobiles and Parts,Germany,Hanover
CTEC,ConvaTec,Health Care,United Kingdom,Reading
1COV,Covestro,Chemicals,Germany,Leverkusen
CRDA,Croda International,Chemicals,United Kingdom,Snaith
CAGR,Crédit Agricole,Banks,France,Montrouge
CPR,Davide Campari-Milano,"Food, Beverage and Tobacco",Italy,Sesto San Giovanni
DANO,Danone,"Food, Beverage and Tobacco",France,Paris
DHER,Delivery Hero,Retail,Germany,Berlin
DEMANT,Demant,Health Care,Denmark,Smørum
DLN,Derwent London,Real Estate,United Kingdom,London
DB1,Deutsche Börse,Financial Services,Germany,Frankfurt
DTE,Deutsche Telekom,Telecommunications,Germany,Bonn
DHL,DHL Group,Industrial Goods and Services,Germany,Bonn
DGE,Diageo,"Food, Beverage and Tobacco",United Kingdom,London
DPLM,Diploma,Industrial Goods and Services,United Kingdom,London
DLG,Direct Line,Insurance,United Kingdom,Bromley
DOCM,DocMorris,Health Care,Switzerland,Frauenfeld
SMDS,DS Smith,Industrial Goods and Services,United Kingdom,London
EZJ,EasyJet,Travel and Leisure,United Kingdom,Luton
EDEN,Edenred,Industrial Goods and Services,France,Issy-les-Moulineaux
EDP,EDP - Energias de Portugal,Utilities,Portugal,Lisbon
EDPR,EDP Renováveis,Utilities,Portugal,Madrid
EFGI,Eiffage,Construction and Materials,France,Asnières-sur-Seine
ELUX B,Electrolux,Consumer Products and Services,Sweden,Stockholm
ELISA,Elisa,Telecommunications,Finland,Helsinki
EDV,Endeavour Mining,Basic Resources,United Kingdom,London
ENGIE,Engie,Utilities,France,Courbevoie
ENI,Eni,Energy,Italy,Rome
ENEL,Enel,Utilities,Italy,Rome
ENT,Entain,Travel and Leisure,United Kingdom,London
EOAN,E.ON,Utilities,Germany,Essen
EPI A,Epiroc,Industrial Goods and Services,Sweden,Nacka
EBS,Erste Group,Banks,Austria,Vienna
ESLX,EssilorLuxottica,Health Care,France,Charenton-le-Pont
ENX,Euronext,Financial Services,Netherlands,Amsterdam
EVK,Evonik Industries,Chemicals,Germany,Essen
EVT,Evotec,Health Care,Germany,Hamburg
EXO,Exor,Financial Services,Netherlands,Amsterdam
FRVIA,Forvia,Automobiles and Parts,France,Nanterre
FNTN,Freenet,Telecommunications,Germany,Büdelsdorf
FME,Fresenius Medical Care,Health Care,Germany,Bad Homburg
GALP,Galp Energia,Energy,Portugal,Lisbon
GAW,Games Workshop,Consumer Products and Services,United Kingdom,Nottingham
G1A,GEA Group,Industrial Goods and Services,Germany,Düsseldorf
GEBN,Geberit,Construction and Materials,Switzerland,Rapperswil-Jona
GFC,Gecina,Real Estate,France,Paris
GF,Georg Fischer,Industrial Goods and Services,Switzerland,Schaffhausen
GET,Getlink,Industrial Goods and Services,France,Paris
GLB,Glanbia,"Food, Beverage and Tobacco",Ireland,Kilkenny
GN,GN Store Nord,Health Care,Denmark,Ballerup
GFT,Grafton Group,Industrial Goods and Services,Ireland,Dublin
GRF,Grifols,Health Care,Spain,Barcelona
HLMA,Halma,Industrial Goods and Services,United Kingdom,Amersham
HNR,Hannover Re,Insurance,Germany,Hanover
HAS,Hays,Industrial Goods and Services,United Kingdom,London
HEI,Heidelberg Materials,Construction and Materials,Germany,Heidelberg
HELN,Helvetia,Insurance,Switzerland,St. Gallen
