doc_id,empresa,año,confianza,ratio_cuantitativo,ratio_futuro,ratio_futuro_sin_cifra,lm_uncertainty,lm_weak_modal,climate_specificity_spec,finbert_tone,climate_sentiment_opportunity,climate_sentiment_risk,climate_commitment_yes,hedging_ratio,z_hedging,z_futuro_sin_cifra,z_cuantitativo,z_specificity,GW_index,id_empresa,n_tokens,supersector,pais,capitalización,ROA,ROE,deuda_equity,total_assets,region,log_cap
E047_SAF_2022,Safran,2022,densidad,0.4684147794994041,0.2133492252681764,0.0977353992848629,0.009319013,0.0021666323,0.4387464387464387,0.2085816448152562,0.2022792022792023,0.0541310541310541,0.3618233618233618,0.0114856453,-0.0202525085533633,-0.62411945860541,1.3655782869716897,1.3522892153381936,-3.3622394694686566,E047,14302,Industrials,France,122639482880.0,-0.0525113180148629,-0.2361924887138603,0.6674671021035443,46828000000.0,Centro,25.53251485493226
E047_SAF_2023,Safran,2023,densidad,0.4727891156462585,0.2074829931972789,0.0941043083900226,0.0072010537,0.0015901995,0.4523809523809524,0.2018140589569161,0.2619047619047619,0.0687830687830687,0.3941798941798942,0.0087912532,-0.4465505917769081,-0.7046581373215807,1.4059887973304253,1.4650668529643485,-4.022264379393262,E047,14678,Industrials,France,122639482880.0,0.0682412617896488,0.2974863954392329,0.5685410728167919,50468000000.0,Centro,25.53251485493226
E047_SAF_2024,Safran,2024,densidad,0.3867265469061876,0.1746506986027944,0.0948103792415169,0.00942958,0.0021618921,0.3017429193899782,0.092814371257485,0.1427015250544662,0.1514161220043573,0.247276688453159,0.0115914721,-0.003508931405226,-0.688997275308967,0.6109350545880168,0.2190670356794229,-1.5225082969816328,E047,35613,Industrials,France,122639482880.0,-0.0121246273540318,-0.0655463836477987,0.4970518867924528,55012000000.0,Centro,25.53251485493226
E048_CS_2022,AXA,2022,alta,0.4130052724077329,0.18804920913884,0.0887521968365553,0.010208979,0.0015182748,0.245045045045045,0.1933216168717047,0.1603603603603603,0.2018018018018018,0.2990990990990991,0.0117272538,0.017974014023108,-0.8233695673963088,0.8537002819147269,-0.2499084260385572,-1.4091874092493704,E048,22107,Financials,France,82121351168.0,0.0079281655875944,0.1098498003125542,1.381706893557909,638357000000.0,Centro,25.13146388254191
E048_CS_2023,AXA,2023,alta,0.3565217391304348,0.1826086956521739,0.1051383399209486,0.023558166,0.0055332594,0.2037914691943128,0.0450592885375494,0.1196682464454976,0.259478672985782,0.2369668246445497,0.0290914254,2.765277596840439,-0.4599200279902692,0.3319003264536923,-0.5911366467724408,2.5645938891689184,E048,52428,Financials,France,82121351168.0,0.0111563739069034,0.1450009076423485,1.2075677202041186,644385000000.0,Centro,25.13146388254191
E048_CS_2024,AXA,2024,alta,0.3774625689519306,0.231284475965327,0.1406619385342789,0.012013519,0.0020768836,0.1959183673469387,0.1016548463356974,0.0889795918367346,0.2114285714285714,0.2138775510204081,0.0140904026,0.3918638438708202,0.3280039811901991,0.5253535938781897,-0.6562588690194713,0.8507731002023009,E048,49041,Financials,France,82121351168.0,0.0120624936903643,0.1579000060068478,1.2504254850529604,653762000000.0,Centro,25.13146388254191
E049_TLX_2022,Talanx,2022,densidad,0.2077294685990338,0.1980676328502415,0.1642512077294686,0.017844753,0.0012557097,0.1472868217054263,0.1545893719806763,0.1317829457364341,0.1627906976744186,0.2558139534883721,0.0191004627,1.1845394969299137,0.8512210054625226,-1.0426560377006069,-1.0585138359788355,4.136930376071879,E049,3366,Financials,Germany,27811262464.0,0.0044548489074262,0.0817129629629629,1.103587962962963,158479000000.0,Centro,24.048706900206504
E049_TLX_2023,Talanx,2023,densidad,0.1948717948717948,0.1666666666666666,0.1269230769230769,0.010385819,0.0014598464,0.1642857142857142,0.1243589743589743,0.0678571428571428,0.1821428571428571,0.2035714285714285,0.0118456654,0.0367087178961757,0.0232719341894269,-1.1614363828547996,-0.9179077975930724,2.139324832533475,E049,12130,Financials,Germany,27811262464.0,0.0093813974187805,0.1513353115727003,0.8715420694936346,168525000000.0,Centro,24.048706900206504
E049_TLX_2024,Talanx,2024,alta,0.2960199004975124,0.1455223880597015,0.0926616915422885,0.016643686,0.0027758763,0.1864077669902912,0.0833333333333333,0.0961165048543689,0.2485436893203883,0.1378640776699029,0.0194195623,1.235026413009203,-0.7366558091439231,-0.2270210949273276,-0.7349256311336763,1.4603173299262835,E049,52143,Financials,Germany,27811262464.0,0.0109578259495951,0.1695394906097247,0.7536231884057971,180419000000.0,Centro,24.048706900206504
E050_AV_2022,Aviva,2022,densidad,0.2377622377622377,0.2395104895104895,0.1748251748251748,0.024326682,0.0024199286,0.2234042553191489,0.18006993006993,0.1436170212765957,0.2180851063829787,0.4095744680851064,0.0267466105999999,2.39428851371694,1.085754748444991,-0.7652106177266781,-0.4289098343082981,4.674163714196907,E050,7841,Financials,United Kingdom,18899560448.0,-0.0033948892542549,-0.1061187399030694,0.8148222940226171,309583000000.0,UK_Irlanda,23.66240450202199
E050_AV_2023,Aviva,2023,densidad,0.3061889250814332,0.2231270358306188,0.1368078175895765,0.00841238,0.0009554677,0.396078431372549,0.2866449511400651,0.3372549019607843,0.1176470588235294,0.4431372549019607,0.0093678477,-0.3553236578250016,0.2425184294680605,-0.133078732134228,0.9993615493551684,-0.9790880455778816,E050,8154,Financials,United Kingdom,18899560448.0,0.003299446848496,0.116892911010558,0.7936867054514113,328843000000.0,UK_Irlanda,23.66240450202199
E050_AV_2024,Aviva,2024,alta,0.2864077669902912,0.203883495145631,0.1310679611650485,0.011935304,0.0004970386,0.2777777777777778,0.2499999999999999,0.25,0.125,0.3564814814814814,0.0124323426,0.129530904329604,0.1152067025407872,-0.3158188479172137,0.0208397920204575,0.5397166627671475,E050,5783,Financials,United Kingdom,18899560448.0,0.0019300164178556,0.0822396146899458,0.8291390728476821,353883000000.0,UK_Irlanda,23.66240450202199
E051_TRYG_2022,Tryg,2022,densidad,0.2692307692307692,0.2692307692307692,0.1634615384615384,0.008583361,0.0034972392,0.1833333333333333,0.3461538461538461,0.3166666666666666,0.0833333333333333,0.4,0.0120806002,0.0738793490461507,0.8337059056471384,-0.4745014965728934,-0.7603557545810112,2.142442505847194,E051,1553,Financials,Denmark,91827863552.0,0.0198170866148676,0.0528705882352941,0.2653882352941176,113387000000.0,Nordicos,25.243181613050194
E051_TRYG_2023,Tryg,2023,densidad,0.3208868144690782,0.1435239206534422,0.0910151691948658,0.009725304,0.0012981386,0.2222222222222222,0.0945157526254375,0.1111111111111111,0.15,0.2166666666666666,0.0110234426,-0.0933807385057695,-0.7731761657470893,0.0027016906341687,-0.4386870000980534,-0.430571594788974,E051,12067,Financials,Denmark,91827863552.0,0.0335930582610235,0.0940295918114451,0.2333886837344172,112940000000.0,Nordicos,25.243181613050194
E051_TRYG_2024,Tryg,2024,densidad,0.2638603696098562,0.2217659137577002,0.150924024640657,0.011402702,0.0011932165,0.2941176470588235,0.1211498973305954,0.1063348416289592,0.2420814479638009,0.2624434389140271,0.0125959185,0.1554113590086266,0.5556201108369972,-0.5241137308012828,0.1559947308788425,1.0791504697680645,E051,14646,Financials,Denmark,91827863552.0,0.0461408752970031,0.1239224969765586,0.1702647762653423,104376000000.0,Nordicos,25.243181613050194
