doc_id,empresa,año,confianza,n_frases,lm_negative,lm_positive,lm_uncertainty,lm_litigious,lm_strong_modal,lm_weak_modal,lm_constraining,pct_climate,finbert_pct_positive,finbert_pct_negative,finbert_pct_neutral,finbert_tone,climate_sentiment_neutral,climate_sentiment_opportunity,climate_sentiment_risk,climate_commitment_no,climate_commitment_yes,climate_specificity_non,climate_specificity_spec,esg9_business_ethics_and_values,esg9_climate_change,esg9_community_relations,esg9_corporate_governance,esg9_human_capital,esg9_natural_capital,esg9_non-esg,esg9_pollution_and_waste,esg9_product_liability
E053_VPLAY B_2023,Viaplay,2023,alta,857,0.014905754,0.018253727,0.008146523,0.0032178257,0.0025060696,0.0013158309,0.0046012555,0.3862310385064177,0.21820303383897316,0.056009334889148193,0.7257876312718786,0.16219369894982497,0.8187311178247734,0.06646525679758308,0.1148036253776435,0.6827794561933535,0.31722054380664655,0.7552870090634441,0.24471299093655588,0.09918319719953325,0.25204200700116686,0.058343057176196034,0.10851808634772463,0.28004667444574094,0.023337222870478413,0.07234539089848308,0.010501750291715286,0.09568261376896149
E053_VPLAY B_2024,Viaplay,2024,alta,721,0.019747991,0.014607055,0.01008935,0.0033153677,0.0025070482,0.0011531515,0.0059270877,0.3564493758668516,0.1636615811373093,0.05825242718446602,0.7780859916782247,0.10540915395284328,0.8287937743190662,0.042801556420233464,0.12840466926070038,0.7470817120622568,0.2529182879377432,0.8287937743190662,0.17120622568093385,0.09015256588072122,0.19694868238557559,0.03744798890429958,0.1650485436893204,0.33841886269070737,0.013869625520110958,0.06796116504854369,0.012482662968099861,0.07766990291262135
E054_ONT_2022,Ontex,2022,densidad,497,0.015737802,0.009650648,0.009347113,0.0024167637,0.0015027927,0.0013888038,0.0035565358,0.5271629778672032,0.14688128772635814,0.08048289738430583,0.772635814889336,0.0663983903420523,0.7290076335877863,0.13358778625954199,0.13740458015267176,0.7061068702290076,0.29389312977099236,0.6183206106870229,0.3816793893129771,0.028169014084507043,0.1891348088531187,0.05835010060362173,0.08651911468812877,0.3038229376257545,0.10865191146881288,0.08651911468812877,0.10865191146881288,0.030181086519114688
E054_ONT_2023,Ontex,2023,alta,994,0.015784893,0.013626991,0.009721715,0.003883025,0.0019804875,0.0018049404,0.006643313,0.49295774647887325,0.2012072434607646,0.047283702213279676,0.7515090543259557,0.15392354124748492,0.7653061224489796,0.11224489795918367,0.12244897959183673,0.7244897959183674,0.2755102040816326,0.7938775510204081,0.20612244897959184,0.07645875251509054,0.1619718309859155,0.039235412474849095,0.1720321931589537,0.22233400402414488,0.06941649899396378,0.09154929577464789,0.07545271629778671,0.09154929577464789
E054_ONT_2024,Ontex,2024,alta,1216,0.01755394,0.017914021,0.011922061,0.0047547175,0.002177263,0.0014336638,0.006771584,0.3626644736842105,0.23273026315789475,0.06578947368421052,0.7014802631578947,0.16694078947368424,0.7278911564625851,0.1111111111111111,0.16099773242630386,0.7505668934240363,0.2494331065759637,0.81859410430839,0.18140589569160998,0.11348684210526316,0.14226973684210525,0.03536184210526316,0.15213815789473684,0.29851973684210525,0.02138157894736842,0.07894736842105263,0.049342105263157895,0.10855263157894737
E055_ULVR_2022,Unilever,2022,alta,1448,0.010041848,0.010924537,0.010685144,0.003333462,0.0035984754,0.0037121305,0.004509173,0.1111878453038674,0.16160220994475138,0.06146408839779006,0.7769337016574586,0.10013812154696133,0.7329192546583851,0.11801242236024845,0.14906832298136646,0.7204968944099379,0.2795031055900621,0.84472049689441,0.15527950310559005,0.049723756906077346,0.03591160220994475,0.021408839779005526,0.5787292817679558,0.125,0.008287292817679558,0.12845303867403315,0.016574585635359115,0.03591160220994475
E055_ULVR_2023,Unilever,2023,media,90,0.0047028344,0.008426933,0.0047726794,0.0007277466,0.0009539843,0.0018959437,0.005788756,0.4222222222222222,0.022222222222222223,0.0,0.9777777777777777,0.022222222222222223,0.8947368421052632,0.10526315789473684,0.0,0.8421052631578947,0.15789473684210525,0.5526315789473685,0.4473684210526316,0.011111111111111112,0.2222222222222222,0.011111111111111112,0.25555555555555554,0.12222222222222222,0.044444444444444446,0.28888888888888886,0.03333333333333333,0.011111111111111112
E055_ULVR_2024,Unilever,2024,alta,534,0.016962972,0.012488865,0.018463263,0.0040059066,0.0013676276,0.004321909,0.006580792,0.2247191011235955,0.19288389513108614,0.1198501872659176,0.6872659176029963,0.07303370786516854,0.5083333333333333,0.21666666666666667,0.275,0.6166666666666667,0.38333333333333336,0.7583333333333333,0.24166666666666667,0.06179775280898876,0.08614232209737828,0.02247191011235955,0.11797752808988764,0.08239700374531835,0.035580524344569285,0.45880149812734083,0.0449438202247191,0.0898876404494382
E056_DIA_2023,Dia,2023,densidad,334,0.014246096,0.011106157,0.0128983725,0.0068076015,0.0018721826,0.0023885432,0.005662464,0.38922155688622756,0.11976047904191617,0.05688622754491018,0.8233532934131736,0.06287425149700598,0.6230769230769231,0.2076923076923077,0.16923076923076924,0.5615384615384615,0.43846153846153846,0.676923076923077,0.3230769230769231,0.1497005988023952,0.17065868263473055,0.020958083832335328,0.24251497005988024,0.1407185628742515,0.07784431137724551,0.06287425149700598,0.09880239520958084,0.03592814371257485
E056_DIA_2024,Dia,2024,densidad_baja,72,0.024343353,0.0067034564,0.026667116,0.028856358,0.0015317734,0.011454647,0.022108294,0.18055555555555555,0.09722222222222222,0.2361111111111111,0.6666666666666666,-0.1388888888888889,0.15384615384615385,0.0,0.8461538461538461,0.9230769230769231,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.041666666666666664,0.041666666666666664,0.06944444444444445,0.06944444444444445,0.2777777777777778,0.0,0.3888888888888889,0.09722222222222222,0.013888888888888888
