id,empresa,año,confianza,E1,E2,E3,E4,E5,S1,S2,S3,S4,G1,ESRS2
E036_GLB_2022,Glanbia,2022,alta,0.4048,0.0333,0.069,0.1143,0.2069,0.4318,0.1333,0.08,0.1154,0.3714,0.4545
E036_GLB_2023,Glanbia,2023,alta,0.4048,0.0333,0.069,0.0857,0.2069,0.3409,0.1,0.08,0.1154,0.4857,0.3939
E036_GLB_2024,Glanbia,2024,alta,0.4286,0.0667,0.1034,0.1429,0.3103,0.3182,0.0667,0.08,0.0769,0.4571,0.4848
E037_PERP_2022,Pernod Ricard,2022,media,0.619,0.2333,0.4828,0.3143,0.5172,0.7955,0.2667,0.2,0.3846,0.5429,0.3636
E037_PERP_2023,Pernod Ricard,2023,alta,0.7381,0.2333,0.6897,0.3714,0.5517,0.7955,0.3,0.24,0.4231,0.5714,0.4545
E037_PERP_2024,Pernod Ricard,2024,alta,0.7619,0.2667,0.7586,0.3714,0.5862,0.8409,0.4333,0.32,0.4231,0.5714,0.4848
E038_CPR_2022,Davide Campari-Milano,2022,densidad,0.4048,0.0333,0.4828,0.0857,0.2759,0.1136,0.1667,0.08,0.1154,0.2286,0.1212
E038_CPR_2023,Davide Campari-Milano,2023,densidad,0.4762,0.0667,0.5517,0.1714,0.3448,0.3409,0.2,0.12,0.1154,0.2286,0.2727
E038_CPR_2024,Davide Campari-Milano,2024,alta,0.6905,0.2,0.7241,0.4571,0.6207,0.8409,0.6333,0.48,0.6154,0.7714,0.7273
E039_NOVO B_2022,Novo Nordisk,2022,densidad,0.3571,0.0333,0.069,0.0286,0.3103,0.2727,0.1667,0.16,0.1538,0.2571,0.3636
E039_NOVO B_2023,Novo Nordisk,2023,densidad,0.2143,0.0667,0.1034,0.0571,0.2759,0.2727,0.1333,0.04,0.1154,0.2,0.3939
E039_NOVO B_2024,Novo Nordisk,2024,densidad,0.5952,0.3,0.5517,0.3714,0.6207,0.3409,0.2333,0.2,0.2308,0.5143,0.5455
E040_CTEC_2022,ConvaTec,2022,densidad,0.7619,0.0333,0.3103,0.0,0.3793,0.4318,0.2,0.12,0.0769,0.2286,0.3636
E040_CTEC_2023,ConvaTec,2023,densidad,0.7857,0.0667,0.4138,0.0857,0.5172,0.6136,0.3667,0.2,0.3846,0.3429,0.3939
E040_CTEC_2024,ConvaTec,2024,densidad,0.7619,0.0667,0.3448,0.1143,0.4483,0.6136,0.3,0.24,0.5385,0.4857,0.4848
E041_ALC_2022,Alcon,2022,densidad,0.0,0.0,0.0345,0.0,0.0,0.0227,0.0,0.0,0.0,0.0286,0.0
E041_ALC_2023,Alcon,2023,media,0.0476,0.0,0.1034,0.0286,0.1034,0.0455,0.0,0.0,0.0385,0.0,0.0303
E041_ALC_2024,Alcon,2024,densidad_baja,0.0,0.0,0.0345,0.0,0.0,0.0909,0.0,0.04,0.0,0.0571,0.0
E042_QIA_2022,Qiagen,2022,alta,0.5238,0.1,0.2414,0.1143,0.4483,0.6364,0.3,0.16,0.3846,0.5714,0.4242
E042_QIA_2023,Qiagen,2023,alta,0.5714,0.1333,0.3448,0.1143,0.5517,0.6591,0.4,0.2,0.3462,0.5143,0.4848
E042_QIA_2024,Qiagen,2024,alta,0.6905,0.1667,0.3103,0.2,0.7241,0.7045,0.6333,0.2,0.3462,0.5143,0.6061
E043_LONN_2022,Lonza Group,2022,densidad,0.1429,0.0,0.1034,0.0,0.069,0.3182,0.0333,0.0,0.0385,0.1429,0.2121
E043_LONN_2023,Lonza Group,2023,densidad_baja,0.2619,0.0,0.1379,0.0,0.069,0.2045,0.2,0.0,0.0385,0.0571,0.0606
E043_LONN_2024,Lonza Group,2024,densidad_baja,0.2857,0.0,0.1034,0.0,0.0,0.1136,0.0667,0.0,0.0769,0.0571,0.1515
E044_LDO_2022,Leonardo,2022,densidad,0.2619,0.2,0.2069,0.1429,0.2414,0.5682,0.1667,0.08,0.2692,0.4286,0.3636
E044_LDO_2023,Leonardo,2023,densidad,0.2619,0.1333,0.2414,0.1143,0.2759,0.4773,0.1,0.12,0.1923,0.3429,0.2424
E044_LDO_2024,Leonardo,2024,alta,0.119,0.0333,0.069,0.0571,0.069,0.1364,0.0333,0.04,0.0769,0.0286,0.303
E045_BOL_2022,Bolloré,2022,densidad_baja,0.0238,0.0,0.0,0.0,0.0,0.0682,0.0667,0.08,0.0,0.1429,0.0909
E045_BOL_2023,Bolloré,2023,densidad,0.5952,0.2667,0.2759,0.3143,0.5517,0.7955,0.3,0.24,0.1923,0.3714,0.303
E045_BOL_2024,Bolloré,2024,densidad,0.6667,0.4,0.1379,0.1714,0.6207,0.8864,0.3667,0.28,0.2308,0.4857,0.6061
E046_SGSN_2022,SGS S.A.,2022,densidad,0.6905,0.0667,0.2414,0.0571,0.1034,0.7273,0.4333,0.36,0.3077,0.4571,0.4242
E046_SGSN_2023,SGS S.A.,2023,densidad,0.6429,0.0333,0.2069,0.0857,0.1379,0.7273,0.4333,0.28,0.3462,0.4,0.4545
E046_SGSN_2024,SGS S.A.,2024,densidad,0.5952,0.0333,0.1379,0.0,0.1034,0.6136,0.3333,0.28,0.3462,0.3143,0.5758
E047_SAF_2022,Safran,2022,densidad,0.6667,0.2,0.1379,0.0857,0.2759,0.6136,0.1667,0.16,0.1923,0.3143,0.2424
E047_SAF_2023,Safran,2023,densidad,0.6429,0.1333,0.1724,0.1143,0.2069,0.7045,0.1667,0.2,0.1923,0.3143,0.303
E047_SAF_2024,Safran,2024,densidad,0.7619,0.3333,0.2069,0.2571,0.5862,0.75,0.4,0.2,0.3462,0.4,0.4848
E048_CS_2022,AXA,2022,alta,0.6667,0.1,0.2069,0.5429,0.3103,0.7727,0.3333,0.24,0.4231,0.4571,0.5455
